index,name,year,hardware,related_game,is_link,id,thumbnail_url
1,"スーパーマリオブラザーズ",1985,"ファミリーコンピュータ","New スーパーマリオブラザーズ U デラックス|スーパーマリオ オデッセイ|スーパーマリオ64|スーパーマリオUSA|スーパーマリオギャラクシー|スーパーマリオブラザーズ ワンダー|スーパーマリオブラザーズ3|スーパーマリオワールド",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/24cb9cbf-5824-46ad-aa44-3f395d1ef1a6"
2,"メトロイド",1986,"ファミリーコンピュータ","メトロイドプライム|メトロイド（NES版）",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"メトロイド（NES版）",1987,"ファミリーコンピュータ","メトロイド|メトロイドプライム",False,"a12f99be-82cd-4318-82f7-d6d6c3fd447b","https://image-assets.m.nintendo.com/92cde466-c87c-474f-beb1-97bed1511708"
4,"ドクターマリオ（ゲームボーイ版）",1990,"ゲームボーイ","ドクターマリオ（ファミコン版）",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/a5246843-a163-4500-8143-0cbc818cb630"
5,"星のカービィ",1992,"ゲームボーイ","星のカービィ　スターアライズ|星のカービィ　ディスカバリー",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/fba34849-7643-4682-a667-97a2be9d486a"
6,"スーパードンキーコング",1994,"スーパーファミコン","スーパードンキーコング 2|スーパードンキーコング 3",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/0a8cde94-bd3d-4b31-9363-ddcde7854a32"
7,"スーパーマリオ ヨッシーアイランド",1995,"スーパーファミコン","ヨッシーストーリー",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/e83f7ccc-5649-4c14-b1db-978fefeb718d"
8,"スターフォックス64",1997,"NINTENDO 64","",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/4d3337db-b0eb-48e9-86ee-606553157ce3"
9,"ゼルダの伝説 時のオカリナ",1998,"NINTENDO 64","ゼルダの伝説|ゼルダの伝説 スカイウォードソード|ゼルダの伝説 時のオカリナ 3D|ゼルダの伝説 神々のトライフォース|ゼルダの伝説 風のタクト|ゼルダの伝説　ティアーズ オブ ザ キングダム|ゼルダの伝説　ブレス オブ ザ ワイルド|ゼルダの伝説１（カセット版）",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/29f24624-c8e1-4305-9899-a0a90704aa15"
10,"ファイアーエムブレム 烈火の剣",2003,"ゲームボーイアドバンス","ファイアーエムブレム エンゲージ",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/5ba15dd2-4bcc-4344-87a3-70c7fd3ea81c"
11,"メトロイドプライム リマスタード",2023,"Nintendo Switch","メトロイド|メトロイド（NES版）",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
12,"メトロイドプライム",2003,"ニンテンドーゲームキューブ","メトロイド|メトロイド（NES版）",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/9664217c-64b5-411c-923b-89982f681fb7"
13,"nintendogs",2005,"ニンテンドーDS","",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/b7ace233-54a0-41af-8a89-3f1f165a4086"
14,"トモダチコレクション",2009,"ニンテンドーDS","",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
15,"Wiiチャンネル",2006,"Wii","",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/470e6987-a73b-4ea0-849d-e3648c56dfed"
16,"スーパーマリオギャラクシー",2007,"Wii","New スーパーマリオブラザーズ U デラックス|スーパーマリオ オデッセイ|スーパーマリオ64|スーパーマリオUSA|スーパーマリオブラザーズ|スーパーマリオブラザーズ ワンダー|スーパーマリオブラザーズ3|スーパーマリオワールド",False,"0c667028-4647-49f1-bf7b-06dc4a51cbff","https://image-assets.m.nintendo.com/1dda5ec2-755d-4a0d-a8ae-3d953097a5b5"
17,"ゼルダの伝説　ブレス オブ ザ ワイルド",2017,"Wii U","ゼルダの伝説|ゼルダの伝説 スカイウォードソード|ゼルダの伝説 時のオカリナ|ゼルダの伝説 時のオカリナ 3D|ゼルダの伝説 神々のトライフォース|ゼルダの伝説 風のタクト|ゼルダの伝説　ティアーズ オブ ザ キングダム|ゼルダの伝説１（カセット版）",True,"c0bd59b6-00a2-41f4-acfb-f2d8d92103a1","https://image-assets.m.nintendo.com/a860459f-373d-44e5-8949-5578b4df6ca9"
18,"ゼルダの伝説　ブレス オブ ザ ワイルド",2017,"Nintendo Switch","ゼルダの伝説|ゼルダの伝説 スカイウォードソード|ゼルダの伝説 時のオカリナ|ゼルダの伝説 時のオカリナ 3D|ゼルダの伝説 神々のトライフォース|ゼルダの伝説 風のタクト|ゼルダの伝説　ティアーズ オブ ザ キングダム|ゼルダの伝説１（カセット版）",False,"20960665-fb98-4830-b8d5-37674a140e1b","https://image-assets.m.nintendo.com/ec5684f0-ed98-4c7e-9be7-5a87cf5ee291"
